baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1658.98,0.914245,100,161.422,6,907.013,0.914261,20.0357,35.366,6,799.452,0.914281,5.03571,17.3772,6,525.557,0.911308,0.142857,2.8774,5,716.689,0.914294,2.04252,7.92117,6,734.937,0.91425,0.887755,9.78033,6,
1931.43,0.344087,100,265.867,5,706.794,0.393314,20.0357,64.4945,4,781.596,0.424184,5.03571,16.0925,6,483.648,0.415917,0.142857,3.56625,4,360.783,0.25435,2.11565,11.418,3,713.457,0.414359,4.63061,31.3076,5,
1638.81,0.91586,100,162.076,6,866.709,0.915915,20.0357,34.8918,6,796.965,0.915987,5.03571,11.9155,6,577.603,0.907875,0.142857,6.9034,5,716.122,0.915961,2.04167,8.13183,6,715.183,0.915981,0.714286,5.624,6,
1884.51,0.682602,100,272.063,5,631.824,0.648822,20.0357,61.8285,4,506.273,0.657997,5.03571,25.4072,4,405.359,0.415173,0.142857,3.366,4,603.172,0.712388,2.30612,15.7744,5,656.49,0.704138,3.54898,27.1782,5,
1555.08,0.913401,100,158.855,6,855.419,0.913413,20.0357,40.486,6,730.912,0.913412,5.03571,18.1107,6,644.361,0.913412,0.142857,7.10283,6,688.669,0.913412,2.03571,9.62633,6,676.477,0.913412,0.513605,10.6403,6,
1810.62,0.913532,100,186.131,6,918.905,0.913532,20.0357,40.1763,6,823.51,0.913532,5.03571,22.1148,6,767.446,0.913532,0.142857,8.58183,6,771.446,0.913532,2.03571,9.32583,6,760.482,0.913532,0.496599,9.2075,6,
1687.48,0.915973,100,169.643,6,944.996,0.915976,20.0357,41.3878,6,751.727,0.915976,5.03571,14.4838,6,737.617,0.915976,0.142857,6.59333,6,735.228,0.915976,2.03571,6.7215,6,718.076,0.915976,0.588435,6.56583,6,
1498.45,0.852899,100,248.179,4,1196.24,0.91658,20.0357,64.7683,6,940.457,0.916614,5.03571,20.8372,6,533.062,0.854585,0.142857,5.732,4,915.77,0.916613,2.04082,15.5775,6,950.615,0.916587,1.40136,15.4443,6,
1509.67,0.911595,100,177.772,5,878.176,0.911595,20.0357,42.3988,5,720.066,0.911595,5.03571,18.5246,5,627.33,0.911601,0.142857,3.7686,5,692.877,0.911595,2.03571,13.042,5,690.143,0.911595,0.459184,8.3044,5,
1747.88,0.925288,100,215.424,5,932.52,0.925289,20.0357,51.9656,5,744.179,0.925289,5.03571,17.4704,5,980.574,0.924846,0.142857,6.85514,7,718.322,0.925286,2.04184,7.2998,5,701.246,0.925289,0.710204,6.1072,5,
